Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,https://ga.de/imgs/93/1/2/2/9/0/7/6/4/5/tok_8cc42ba7f27c718bd61f1fb87e7966e0/w1900_h1259_x2807_y708_GA_AHR_2_Nahr_Josefine_Weber_vor_ihrer_ueberfluteten_Wohnung-be787d7c99be8fb1.jpg,Josefine Weber vor ihrer Wohnung in Bad Neunahr: Der Flutschlamm klebt noch an der Tür. (Martin Gausmann),,"Ähnlich hilflos ist die damals 91-jährige Josefine Weber in Bad Neuenahr. Sie sieht nur noch Wasser, überall, wie am Meer. <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/wie-eine-91-jaehrige-die-flutnacht-in-bad-neuenahr-ueberlebte_aid-65775581"" target=""_blank"">Da sie nicht schwimmen kann, bleibt ihr nur noch eins: Beten.</a>",14,,,,50.54451,7.133497,,,,
<b>Retter kommen an ihre Grenzen</b>,https://ga.de/imgs/93/1/1/6/2/3/0/9/0/1/tok_adcc2fdfff9dd17830975d3b6d7515f0/w1100_h825_x800_y600_DLRG_Stroemungsretter_im_Einsatz-f9c3c15631d55971.jpg,"Mit Booten sind die DLRG-Strömungsretter in Swisttal-Heimerzheim unterwegs. Auf Straßen, die sonst weit vom Fluss entfernt sind. (DLRG Rhein-Sieg)",,"Genau für solche Einsätze sind die Strömungsretter der DLRG Rhein-Sieg eigentlich da. In Swisttal und Rheinbach geben sie alles, fahren mit Booten durch brusthohes Wasser mitten in den Dörfern - und das im Stockdunkeln. 300 Menschen retten sie. Eine Besatzung kentert selbst. „Jeder Retter ist an seine Grenzen gekommen“, <a href=""https://ga.de/region/voreifel-und-vorgebirge/rheinbach/hochwasser-katastrophe-dlrg-stroemungsretter-holten-rund-300-menschen-aus-dem-wasser_aid-63416461"" target=""_blank"">schildern sie diese Stunden später.</a>",14,,,,50.71546,6.914737,,,,
<b>In einem Haus sterben zwölf Menschen</b>,https://ga.de/imgs/93/2/2/0/9/0/8/7/6/1/tok_83b40aacfb5702c309cf54a91385b30e/w1100_h751_x1500_y1024_DPA_bfunk_dpa_5FA5E000198AD9B6-4babeacc7d9976a6.jpg,Das Haus der Lebenshilfe in Sinzig: Hier starben zwölf Menschen. (dpa/Thomas Frey),,"Im Lebenshilfe-Haus in Sinzig leben Menschen mit Behinderungen. In der Flutnacht ist nur eine Fachkraft vor Ort. Es gelingt nicht, alle zu retten. Zwölf Menschen sterben alleine hier. <a href=""https://ga.de/region/ahr-und-rhein/sinzig/buch-ueber-die-flut-im-ahrtal-schlafend-in-die-katastrophe_aid-122838521"" target=""_blank"">Eine Nachbarin hört sie, kann aber nichts für sie tun. Erlebnisse, die sie später in einem Buch verarbeitet.</a>",14,,,,50.54898,7.252611,,,,
,,,,"Er habe auf dem Boden vor seinem Funkgerät gekniet und die Einsatzzentrale angefleht: „Bitte schickt uns Hubschrauber, die Leute verrecken uns"", wird der damalige Leiter der Sinziger Feuerwehr, Andreas Braun, <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/wehrleiter-andreas-braun-vor-flut-untersuchungsausschuss-in-mainz_aid-73335983"" target=""_blank"">über diese Nacht später im Untersuchungsausschuss sagen. Nur: Die Hubschrauber kommen nicht.</a>",,,,,,,,,,
<b>Ausharren auf dem Dach</b>,https://ga.de/imgs/93/1/1/2/5/4/7/2/1/5/tok_8e6c4d59a9352509cf7afd4d8451f742/w1100_h673_x1796_y1098_GA_Bunter_Kreis_Flut_Familie_bme-2-d127e9a421285e9d.jpg,,,"Auf Luftrettung warten viele vergeblich. Wie Familie Templeton in Heppingen. Zwei Erwachsene, ein Baby und zwei Hunde haben sich hier irgendwie auf das Hausdach gerettet. Wie er selbst es über den wackeligen Möbelturm nach oben schaffte, weiß Simon Templeton nicht mehr. <a href=“https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/flutkatastrophe-im-ahrtal-familie-berichtet-von-erlebnissen_aid-62138121 target=""_blank"">„Unter normalen Umständen wäre das ein Ding der Unmöglichkeit.""</a>",16,,,,50.552282,7.165449,,,,
"<b>Katastrophe, die viele vergessen</b>",https://ga.de/imgs/93/1/3/8/0/7/0/1/5/5/tok_09d96b9d41eb3044128f5ff8df1bd85a/w1900_h1326_x1853_y1630_ga_VA_FlutGedenkenLodde-1ba1b9679af84e09.jpg,Das Haus von Janina Lodde in Impekoven wurde von der Flut 2021 stark getroffen. Ein Jahr danach läuft die Sanierung immer noch. (Axel Vogel),,"Was bei den dramatischen Berichten aus Voreifel und Ahrtal oft vergessen wird: Auch im Umfeld geht der Starkregen nieder, steigen Bäche aus ihren Betten, werden Häuser überflutet, <a href=""https://ga.de/region/voreifel-und-vorgebirge/bornheim/hochwasserkatastrophe-auch-in-alfter-und-bornheim-war-die-flut_aid-73758659"" target=""_blank"">wie zum Beispiel bei Familie Lodde in Alfter-Impekoven.</a>",16,,,,50.711102,7.019225,,,,
<b>Die Opfer</b>,https://ga.de/imgs/93/1/4/6/8/2/0/6/6/1/tok_241da0de9e9c8c190c3dbe76ddd2a069/w1100_h825_x1500_y1125_DPA_bfunkdpa_5FAA76003A970339-b5650e41fe30d767.jpg,"Das Wasser brachte Zerstörung und Tod. (Boris Roessler, dpa)",,"Die Flut fordert Menschenleben. 135 Opfer gibt es an der Ahr, 49 in Nordrhein-Westfalen. Sie sterben in Kellern, als Rettungskräfte im Einsatz, oder weil einfach der Boden unter ihnen wegbricht. Fast jeder in der Region kennt Familien, die um einen geliebten Menschen trauern. So wie das Ehepaar Orth, <a href="" https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/flutopfer-johanna-orth-eltern-fordern-aufklaerung-zur-flutkatastropheim-ahrtal_aid-128793153 "" target=""_blank""> dessen Tochter Johanna Orth in Bad Neuenahr in ihrer Wohnung starb. </a>",16,,,,50.544191,7.141821,,,,
<b>Auf der Suche nach Vermissten</b>,https://ga.de/imgs/93/1/1/1/9/3/1/3/2/1/tok_e61ec191de7460d45be37d832f9474a5/w1100_h733_x1500_y999_DPA_bfunk_dpa_5FA5E4000DEE8495-355e732c7f12a7a5.jpg,"Die Polizei sucht systematisch mögliche Bereiche ab, in denen sie die Vermissten vermutet: Häuser, Schutt, Abraum, Uferbereiche oder Fahrzeuge. (Thomas Frey, dpa)",,"Dabei ist es gar nicht einfach, in dem Chaos alle Opfer zu finden. Rund drei Wochen nach der Katastrophe werden im Ahrtal noch 26 Personen vermisst. <a href=""https://ga.de/ga-plus/flutkatastrophe-im-kreis-ahrweiler-identifizierung-der-toten-schwierig_aid-61916755"" target=""_blank"">Und die Identifizierung der gefundenen Opfer ist nicht leicht, wie Uwe Konz, Pressereferent des zuständigen Polizeipräsidiums Koblenz, erklärt.</a>",,,,,,,,,,
,,,,"Die Überreste des vorletzten noch vermissten Opfers <a href=""https://ga.de/region/ahr-und-rhein/sinzig/ahrmuendung-gefundene-knochen-stammen-von-flutopfer-v1_aid-100615423"" target=""_blank"">werden erst im Oktober 2023 in der Ahrmündung gefunden.</a>",16,,,,50.555675,7.273583,,,,
,https://ga.de/imgs/93/1/1/8/6/6/2/1/9/3/tok_8d43e20cc2e1dcbbddb38bf41b5bdbba/w1100_h825_x1008_y756_Schweigemoment_Bad_Neuenahr-fd9df1e1eb74671e.jpg,Im Gedenken an die Oper der Flut entzünden viele Kerzen. (Victor Francke),,"Mehr als die Hälfte der Opfer im Ahrtal stammt aus Bad Neuenahr. <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/mehr-als-die-haelfte-der-todesopfer-lebte-in-bad-neuenahr-ahrweiler_aid-64135885"" target=""_blank"">Das Jüngste ist vier Jahre alt.</a> <a href=""https://ga.de/region/ahr-und-rhein/ahrweiler-flutkatastrophe-analyse-der-situation-der-flutopfer_aid-64170683"" target=""_blank"">Wie eine Analyse später zeigt, überraschte die Flut viele von ihnen im Schlaf.</a>",16,,,,50.545048,7.137505,,,,
